Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
32	23.555555	10.382796	39.0	7.0	5.0	0.0	5.0	5.0	80.0	80.0	25600	3.7736835	0.12695608	4.3083572	3.484882	3.7735882	0.12580702	4.265959	3.4663358	7.1116943	1.9932197	12.820365	-2.3810635	-3.8719528	0.0476212	2318.2215411663055
33	24.333334	10.821789	36.0	2.0	34.0	0.0	34.0	34.0	80.0	80.0	26400	4.1950173	0.1639311	4.831645	3.848643	4.194844	0.16320089	4.7919874	3.816724	7.260719	2.032022	13.070427	-4.1459384	-4.316109	0.05621327	2388.675104379654
34	30.11111	13.084719	39.0	6.0	7.0	0.0	7.0	7.0	80.0	80.0	27200	4.7157516	0.19548425	5.4868546	4.298654	4.7155294	0.19478333	5.4354396	4.2591853	7.384719	2.0617154	13.327503	-2.8918111	-4.857074	0.063239545	2458.732159137726
35	16.555555	14.750602	37.0	0.0	38.0	0.0	38.0	38.0	80.0	80.0	28000	5.3186245	0.21695817	6.1121645	4.818385	5.318555	0.21663131	6.0561423	4.787586	7.5178084	2.098418	13.703979	-3.4424343	-5.4758897	0.06925089	2530.2606694698334
36	8.666667	6.944222	21.0	2.0	19.0	0.0	19.0	19.0	80.0	80.0	28800	5.946744	0.21443738	6.7745495	5.4347363	5.946593	0.21433197	6.7014246	5.408413	7.532129	2.0849645	13.706763	-2.6331043	-6.1057644	0.071667485	2600.1340897083282
37	11.333333	10.68748	34.0	2.0	23.0	0.0	23.0	23.0	80.0	80.0	29600	6.5492425	0.20627412	7.380073	6.0600715	6.5491157	0.20609915	7.3055425	5.985251	7.47005	2.0634017	13.622011	-4.0317388	-6.703336	0.076678894	2670.326637983322
38	12.555555	9.753758	34.0	3.0	25.0	0.0	25.0	25.0	80.0	80.0	30400	7.1389985	0.21500927	8.011976	6.640984	7.1388087	0.21414249	7.967263	6.5936866	7.4190617	2.088199	13.719214	-2.4804585	-7.2960644	0.082157314	2740.214901447296
39	10.222222	9.941806	35.0	1.0	5.0	0.0	5.0	5.0	80.0	80.0	31200	7.79545	0.2199201	8.554848	7.26821	7.79536	0.22093984	8.542652	7.2244825	7.696382	2.2682056	14.563021	-2.4702039	-7.9681306	0.08609747	2810.3167655467987
40	16.222221	7.828407	28.0	2.0	22.0	0.0	22.0	22.0	80.0	80.0	32000	8.364882	0.18712506	9.041592	7.916976	8.364761	0.18953072	9.02651	7.890955	7.8678446	2.3203325	14.802777	-4.9950666	-8.511177	0.08831896	2880.185462474823
41	16.0	6.289321	26.0	7.0	25.0	0.0	25.0	25.0	80.0	80.0	32800	8.848126	0.1821172	9.520501	8.388623	8.848145	0.18432073	9.50031	8.375504	7.922974	2.3417473	14.926647	-2.0922208	-8.987623	0.09214627	2950.2026040554047
42	20.777779	10.612129	39.0	6.0	14.0	0.0	14.0	14.0	80.0	80.0	33600	9.338479	0.19451037	10.069846	8.874334	9.338396	0.19602364	10.0246935	8.872541	7.9118586	2.3564634	14.996025	-3.1338665	-9.485522	0.096230656	3020.174455881119
43	17.666666	3.2659862	22.0	12.0	18.0	0.0	18.0	18.0	80.0	80.0	34400	9.859141	0.20573421	10.662075	9.381447	9.859081	0.20656683	10.600842	9.384738	7.956607	2.361022	15.104646	-2.5867324	-10.017681	0.09835093	3084.8952124118805
44	13.555555	5.7370358	22.0	6.0	28.0	0.0	28.0	28.0	80.0	80.0	35200	10.404121	0.20767008	11.211887	9.872512	10.404182	0.20821647	11.122063	9.914553	7.967365	2.3656893	15.22214	-3.8968525	-10.563528	0.10251185	3150.453605890274
45	10.666667	8.969082	28.0	0.0	7.0	0.0	7.0	7.0	80.0	80.0	36000	10.893366	0.18451925	11.661998	10.407065	10.8932495	0.18393604	11.570531	10.45217	7.9597445	2.3617036	15.225473	-5.0996637	-11.033274	0.10458232	3215.866363763809
46	20.444445	2.114033	23.0	17.0	18.0	0.0	18.0	18.0	80.0	80.0	36800	11.360034	0.20322856	12.172853	10.87767	11.360121	0.20169827	12.077672	10.902677	8.008472	2.3716445	15.483951	-2.5392056	-11.515533	0.10524301	3282.014427423477
47	19.222221	3.2241373	26.0	14.0	15.0	0.0	15.0	15.0	80.0	80.0	37600	11.862167	0.20347361	12.692989	11.357421	11.862083	0.20167081	12.600387	11.390767	8.064602	2.3870068	15.629607	-2.0243955	-12.017957	0.10953899	3347.9203033447266
48	17.222221	7.8990545	25.0	2.0	32.0	0.0	32.0	32.0	80.0	80.0	38400	12.324151	0.19095519	13.158883	11.845346	12.324296	0.18849054	13.057616	11.87114	7.934656	2.3486671	15.369362	-1.918114	-12.467446	0.11210713	3413.970197916031
